Date,Victory,Player,Match,Game-Win,Opponent,Game-Lose
14/10/2023-194954,1,<@881970825111154718>,0,1,<@566387736609685514>,2
14/10/2023-194954,1,<@881970825111154718>,1,2,<@723638398312513586>,0
14/10/2023-194954,1,<@881970825111154718>,0,1,<@693536919547674714>,2
14/10/2023-194954,1,<@690644525177110561>,0,1,<@566387736609685514>,2
14/10/2023-194954,1,<@690644525177110561>,0,0,<@723638398312513586>,2
14/10/2023-194954,1,<@690644525177110561>,1,2,<@693536919547674714>,0
14/10/2023-194954,1,<@516145113076858900>,1,2,<@566387736609685514>,1
14/10/2023-194954,1,<@516145113076858900>,1,2,<@723638398312513586>,1
14/10/2023-194954,1,<@516145113076858900>,1,2,<@693536919547674714>,1
14/10/2023-194954,0,<@723638398312513586>,0,0,<@881970825111154718>,2
14/10/2023-194954,0,<@723638398312513586>,1,2,<@690644525177110561>,0
14/10/2023-194954,0,<@723638398312513586>,0,1,<@516145113076858900>,2
14/10/2023-194954,0,<@693536919547674714>,1,2,<@881970825111154718>,1
14/10/2023-194954,0,<@693536919547674714>,0,0,<@690644525177110561>,2
14/10/2023-194954,0,<@693536919547674714>,0,1,<@516145113076858900>,2
14/10/2023-194954,0,<@566387736609685514>,1,2,<@881970825111154718>,1
14/10/2023-194954,0,<@566387736609685514>,1,2,<@690644525177110561>,1
14/10/2023-194954,0,<@566387736609685514>,0,1,<@516145113076858900>,2
21/10/2023-140000,1,<@881970825111154718>,1,2,<@516145113076858900>,1
21/10/2023-140000,1,<@881970825111154718>,0,0,<@723638398312513586>,2
21/10/2023-140000,1,<@881970825111154718>,1,2,<@689986226929139764>,0
21/10/2023-140000,1,<@690644525177110561>,0,1,<@516145113076858900>,2
21/10/2023-140000,1,<@690644525177110561>,0,0,<@723638398312513586>,2
21/10/2023-140000,1,<@690644525177110561>,1,2,<@689986226929139764>,1
21/10/2023-140000,1,<@566387736609685514>,1,2,<@516145113076858900>,1
21/10/2023-140000,1,<@566387736609685514>,1,2,<@723638398312513586>,0
21/10/2023-140000,1,<@566387736609685514>,1,2,<@689986226929139764>,0
21/10/2023-140000,0,<@723638398312513586>,1,2,<@881970825111154718>,0
